"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpu3/topology/core_cpus","08"
"system/cpu/cpu3/topology/thread_siblings","08"
"system/cpu/cpu3/cpu_capacity","325"
"system/cpu/cpu3/cache/uevent",""
"system/cpu/cpu3/cache/index2/uevent",""
"system/cpu/cpu3/cache/index2/shared_cpu_list","3"
"system/cpu/cpu3/cache/index2/type","Unified"
"system/cpu/cpu3/cache/index2/waiting_for_supplier","0"
"system/cpu/cpu3/cache/index2/level","2"
"system/cpu/cpu3/cache/index2/shared_cpu_map","08"
"system/cpu/cpu3/cache/index0/uevent",""
"system/cpu/cpu3/cache/index0/shared_cpu_list","3"
"system/cpu/cpu3/cache/index0/type","Data"
"system/cpu/cpu3/cache/index0/waiting_for_supplier","0"
"system/cpu/cpu3/cache/index0/level","1"
"system/cpu/cpu3/cache/index0/shared_cpu_map","08"
"system/cpu/cpu3/cache/index3/uevent",""
"system/cpu/cpu3/cache/index3/shared_cpu_list","0-7"
"system/cpu/cpu3/cache/index3/type","Unified"
"system/cpu/cpu3/cache/index3/waiting_for_supplier","0"
"system/cpu/cpu3/cache/index3/level","3"
"system/cpu/cpu3/cache/index3/shared_cpu_map","ff"
"system/cpu/cpu3/cache/index1/uevent",""
"system/cpu/cpu3/cache/index1/shared_cpu_list","3"
"system/cpu/cpu3/cache/index1/type","Instruction"
"system/cpu/cpu3/cache/index1/waiting_for_supplier","0"
"system/cpu/cpu3/cache/index1/level","1"
"system/cpu/cpu3/cache/index1/shared_cpu_map","08"
"system/cpu/cpu3/cache/waiting_for_supplier","0"
"system/cpu/cpu3/isolate","0"
"system/cpu/cpu3/waiting_for_supplier","0"
"system/cpu/cpu3/regs/identification/revidr_el1","0x0000000000000000"
"system/cpu/cpu3/regs/identification/midr_el1","0x00000000412fd050"
"system/cpu/online","0-7"
"system/cpu/core_ctl_isolated",""
"system/cpu/cpu1/cpuidle/state1/disable","0"
"system/cpu/cpu1/cpuidle/state1/above","0"
"system/cpu/cpu1/cpuidle/state1/time","10923155239"
"system/cpu/cpu1/cpuidle/state1/power","0"
"system/cpu/cpu1/cpuidle/state1/residency","0"
"system/cpu/cpu1/cpuidle/state1/latency","531"
"system/cpu/cpu1/cpuidle/state1/usage","1107830"
"system/cpu/cpu1/cpuidle/state1/desc","rail-pc"
"system/cpu/cpu1/cpuidle/state1/below","0"
"system/cpu/cpu1/cpuidle/state1/name","C1"
"system/cpu/cpu1/cpuidle/state1/s2idle/time","0"
"system/cpu/cpu1/cpuidle/state1/s2idle/usage","0"
"system/cpu/cpu1/cpuidle/driver/name","msm_idle"
